Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Butte County Sheriff's Office,Butte, ,2018-08-01 14:02:00, ,Child Exploitation, , ,Business,google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-05-07 00:00:00,2018-07-24 00:00:00,"was used as the means of committing a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
REACT Task Force/Fremont PD,Alameda, ,2018-10-04 07:59:00,Commercial burglary of high value computer components from a manufacturer.,Theft/Fraud, , ,Business,Apple and Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-03-01 00:00:00,2018-10-02 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Amador County Sheriff's Office,Amador,18-SW-1155,2018-09-06 14:32:00,"Two generators were stolen from outside a home within Amador County.  The victim found an ad on ""OfferUp.com"" wherein one of his stolen generators was listed for sale. The Suspect's OfferUp.com profile indicated it was linked to gmail address ""[redacted]""  A Search Warrant was drafted and addressed to Google, in an attempt to identify the end user of [redacted].  The responsive data from Google provided some identifying information, but nothing that positively identified the end user.  ",Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-08-19 00:00:00,2018-08-21 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Santa Maria Police Department,Santa Barbara,9084,2018-10-10 07:35:00,Commercial burglary at a local discount mall,Theft/Fraud, , ,Business,"Google, Inc.",Location information,2018-06-04 00:00:00,2018-06-06 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-11-20 10:05:00,"Child Sexual Exploitation.  I received reports from the NCMEC regarding possession, distribution and namufacturing of child pornography.",Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-22 00:00:00,2018-11-19 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Monterey County District Attorney's Office,Monterey,18-258,2018-10-15 09:50:00,cold case homicide,Homicide, ,Gang Related,Business,"Google, LLC",Location information,2016-09-01 00:00:00,2016-09-17 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
REACT,Santa Clara, ,2018-10-30 13:53:00,Suspect unlawfully accessed the victim's email account and used it to commit financial crimes against the victim.,Theft/Fraud, ,ID Theft,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-10-26 00:00:00,2018-10-29 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
Walnut CReek PD,Contra Costa, ,2018-11-06 15:56:00,314 PC - Indecent Exposure ,Sex Crimes , , ,Business,Google LLC ,Anonymized Google Users,2018-09-25 00:00:00,2018-10-10 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Whittier Police Department,Los Angeles, ,2018-11-13 09:29:00,Female Juvenile Victim was sexually assaulted in a department store bathroom. The victim's only contact for the suspect was through snapchat.,Crime of Violence,Rape,Minors,Business,Google LLC,Basic subscriber information from a service provider,2016-05-04 00:00:00,2018-02-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to intimidation of potential witnesses
",No, ,eswn2018.xlsx,2018
Riverside County District Attorney's Office,Riverside,RI082820181,2018-11-15 11:03:00,Wire fraud during a real estate transaction.,Theft/Fraud, , ,Business,"Google, Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-04-06 00:00:00,2018-08-24 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Truckee Police Department,Nevada,T18-41,2018-11-19 16:53:00,Residential Burglary - 459 PC,Theft/Fraud, , ,Business,Google LLC.,"Basic subscriber information from a service provider
Location information
",2018-10-01 00:00:00,2018-10-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
ANTIOCH PD,Contra Costa, ,2018-11-23 15:56:00,GOOGLE GEO-FENCE WARRANT FOR AREA NEAR OPENNING TO EMPIRE MINE ROAD. THIS WAS REGARDING A MURDER VICTIM BEING DUMPED THERE.,Homicide, , ,Business,GOOGLE,Location information,2017-12-03 00:00:00,2017-12-03 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
ANTIOCH POLICE DEPT,Contra Costa, ,2018-11-23 16:03:00,MURDER OF A VALLEJO MAN AT 2201 SAN JOSE DRIVE IN ANTIOCH CA ON 8/19/2018,Homicide, , ,Business,GOOGLE,Location information,2018-08-19 00:00:00,2018-08-19 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
California Highway Patrol,San Diego,58929,2018-11-28 08:17:00,Subject throwing large rocks into oncoming traffic.,Crime of Violence,Assault, ,Business,Google LLC,"Stored files (picture, documents, or other files)",2018-10-22 00:00:00,2018-11-20 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
Santa Maria Police Department,Santa Barbara,9153,2018-11-28 15:00:00,Stabbing and robbery on 10-22-18,Crime of Violence,"Assault
Robbery
", ,Business,"Google, Inc.","Basic subscriber information from a service provider
Location information
",2018-10-22 00:00:00,2018-10-22 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
REACT,Santa Clara, ,2018-12-04 08:02:00,The victim's email was hacked and used to steal over $950 from victim.,Computer Crime Fraud, , ,Business,Google,"Other transactional and account records from a service provider
Location information
Device info
",2018-10-26 00:00:00,2018-10-29 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
REACT,Santa Clara,CSW54458,2018-12-19 16:27:00,Grand Theft involving an internet romance scam,Theft/Fraud, ,ID Theft,Business,Google Inc and Mail.com,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2009-01-01 00:00:00,2018-12-04 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Upland Police Department,San Bernardino,,2018-12-31 16:42:00,The victim was scammed out of several thousand dollars.  ,Theft/Fraud, , ,Business,"Google, LLC; ZipRecruiter, Inc. ",Other transactional and account records from a service provider,2017-07-09 00:00:00,2018-07-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2018.xlsx,2018
Upland Police Department,San Bernardino,,2018-12-31 16:56:00,The victim said he was scammed and lost several thousand dollars. ,Theft/Fraud, , ,Business,"J.P. Morgan Chase; Google, LLC",Other transactional and account records from a service provider,2018-01-01 00:00:00,2018-09-17 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2018.xlsx,2018
San Joaquin County District Attorney's Office,San Joaquin,SSW-18-1,2018-10-11 10:00:00,Investigation of a crime where a mortgage loan was obtained using my victims' name.  The crime was partially done using a Google Gmail account established using one of my victim's name.   ,"Computer Crime Fraud
Theft/Fraud
", ,ID Theft,Business,Google Inc.  ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-12-01 00:00:00,2017-12-05 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Auburn Police Department,Placer, ,2018-07-09 13:16:00, ,Child Exploitation, , ,Business,"Verizon Wireless, Google LLC, At&t, Wave Broadband","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-01-01 00:00:00,2018-06-01 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2018.xlsx,2018
Westminster PD,Orange, ,2018-03-08 16:34:00, ,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-01-01 00:00:00,2018-02-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-06-20 07:26:00, ,"Computer Crime Fraud
Threats/Harassment
", , ,Business,Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2017-12-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-01-04 08:24:00,187 (a) PC - Murder,Homicide, , ,Business,Google / T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2017-08-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-01-04 08:24:00,187 (a) PC - Murder,Homicide, , ,Business,Google / T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2017-08-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-01-09 06:35:00,Bomb Threat,Threats/Harassment, , ,Business,Google Inc.,Basic subscriber information from a service provider,2017-04-10 00:00:00,2017-04-14 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
UCLA Police Department,Los Angeles, ,2018-01-31 07:34:00,Telephonic IRS SCAM,Theft/Fraud, , ,Business,Google Inc and Apple Inc,Other transactional and account records from a service provider,2018-12-19 00:00:00,2018-01-31 00:00:00,was used as the means of committing a felony, ,No, ,eswn2018.xlsx,2018
Dublin Police Services,Alameda, ,2018-02-07 16:36:00,"suspect fraudulently identified him/herself as John Green Elementary School Principal using a google gmail email address and requested 3 checks totaling over $8,000 be sent to various people throughout the country",Theft/Fraud, ,ID Theft,Business,Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-10-01 00:00:00,2017-12-31 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-02-14 15:36:00,Cybertip [redated] Google reported the user [redacted] uploaded a file of child pornography to their server.  I reviewed the image formed the opinion that the image depicts child pornography.,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-01 00:00:00,2018-02-14 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Placer County Sheriff's Office,Placer, ,2018-03-01 13:51:00, ,Child Exploitation, ,Minors,Business,Google Inc.,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2017-06-08 00:00:00,2017-12-04 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Orange County Sheriff's Department,Orange, ,2018-06-29 10:51:00, ,Computer Crime Fraud, , ,Business,"Verizon, Target Financial Services, Google LLC, and Microsoft Online Services - Hotmail","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2018-03-01 00:00:00,2018-06-01 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Westminster PD,Orange, ,2018-03-08 16:36:00, ,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-01-01 00:00:00,2018-02-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Anaheim Police Department,Orange, ,2018-03-09 10:38:00, ,Child Molestation / violation of a Criminal Protective Order. , , ,Business,Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2017-10-11 00:00:00,2018-01-19 00:00:00,The electronic communication service shows a person possessed an item with intent to commit a misdemeanor public offense.,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2018.xlsx,2018
Anaheim Police Department,Orange, ,2018-03-09 10:41:00, ,Child molestation / violation of criminal protective order, , ,Business,Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2017-10-11 00:00:00,2017-10-11 00:00:00,The electronic communication service shows a person possessed an item with intent to commit a misdemeanor public offense.,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,eswn2018.xlsx,2018
Rocklin PD,Placer, ,2018-03-13 11:22:00, ,Child Exploitation, , ,Business,GOOGLE,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-09-16 00:00:00,2017-10-19 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Arcadia PD,Los Angeles, ,2018-03-21 07:34:00, ,"Computer Crime Fraud
Theft/Fraud
", , ,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-10-15 00:00:00,2018-01-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Rocklin PD,Placer, ,2018-03-21 16:22:00, ,Child Exploitation, , ,Business,"Comcast, Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-09-16 00:00:00,2017-10-19 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Clovis Police Department,Fresno, ,2018-03-26 11:38:00, ,Theft/Fraud, ,ID Theft,Business,Comcast Cable Communications / Google Inc.,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-01-01 00:00:00,2018-01-11 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,eswn2018.xlsx,2018
Santa Clara County District Attorney Bureau of Investigations,Santa Clara, ,2018-03-13 15:26:00, ,Theft/Fraud, , ,Business,"Google, Oath, T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2016-08-01 00:00:00,2016-08-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
Chico Police Department,Butte, ,2018-04-11 19:32:00, ,Homicide, ,Gang Related,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-12-25 00:00:00,2017-12-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-06-20 07:18:00, ,"Computer Crime Fraud
Threats/Harassment
", , ,Business,Google Inc,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01 00:00:00,2017-12-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
San Luis Obispo County DA's Office,San Luis Obispo, ,2018-06-18 11:05:00, ,Homicide, , ,Business,"Google, Inc; Microsoft Corporation","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2014-03-16 00:00:00,2018-05-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
San Luis Obispo County DA's Office,San Luis Obispo, ,2018-06-18 11:00:00, ,Homicide, , ,Business,"Google, Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-11-01 00:00:00,2018-01-11 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Santa Barbara County Sheriff,Santa Barbara, ,2018-03-27 16:03:00, ,Human Trafficking, ,Gang Related,Business,Google Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-02-01 00:00:00,2018-02-01 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Folsom Police Department,Sacramento, ,2018-06-05 07:48:00, ,Theft/Fraud, ,ID Theft,Business,Amazon.com / AT&T / Google,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2008-07-01 00:00:00,2018-06-05 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
California Highway Patrol,Alameda, ,2018-05-29 11:16:00, ,Theft/Fraud, ,ID Theft,Business,Google and Sprint,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-02-01 00:00:00,2016-07-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2018.xlsx,2018
Rocklin PD,Placer, ,2018-05-24 09:25:00, ,Child Exploitation, ,Minors,Business,"Google Inc, Verizon In, Comcast Inc, Consolidated Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-09-16 00:00:00,2017-10-19 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
San Luis Obispo County DA's Office,San Luis Obispo, ,2018-06-18 10:57:00, ,Homicide, , ,Business,"Google, Inc","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2018-01-08 00:00:00,2018-01-11 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Los Angeles Police Department,Los Angeles, ,2018-05-08 17:13:00, ,Child Exploitation, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01 00:00:00,2018-04-01 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2018.xlsx,2018
Riverside Sheriff ,Riverside, ,2018-04-30 09:32:00, ,Theft/Fraud, , ,Business,Google ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
",2018-03-11 00:00:00,2018-03-21 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
Rocklin PD,Placer, ,2018-04-26 08:59:00, ,Child Exploitation, , ,Business,"Google, ATT, Frontier, Comcast","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-09-16 00:00:00,2017-10-19 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,eswn2018.xlsx,2018
LASD Special Victim's Bureau,Los Angeles, ,2018-04-18 16:26:00, ,Child Exploitation, , ,Business,"Google Inc, Spectrum Cable","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-01-01 00:00:00,2017-11-09 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,eswn2018.xlsx,2018
Chico Police Department,Butte, ,2018-04-11 19:36:00, ,Homicide, ,Gang Related,Business,"AT&T,Verizon,Sprint,Metro PCS, US Cellualr, Comcast,Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-12-25 00:00:00,2017-12-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2018.xlsx,2018
Clovis Police Department,Fresno, ,2018-05-23 15:10:00, ,Theft/Fraud, , ,Business,Google Inc.,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-08-01 00:00:00,2018-05-10 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
", ,No, ,eswn2018.xlsx,2018
Santa Maria Police Department,Santa Barbara, ,2019-01-17 16:26:00,Shooting into an inhabited dwelling,Crime of Violence,Assault, ,Business,"Google, Inc.",Location information,2018-11-25 00:00:00,2018-11-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
Seaside Police Department,Monterey,18-316,2019-01-22 09:05:00,Burglary to a gunsmithing shop where 11 firearms were stolen. ,Theft/Fraud, , ,Business,Google LLC,Device ID in a particular location from Google,2018-10-05 00:00:00,2018-10-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,eswn2019.xlsx,2019
Seaside Police Department,Monterey,18-318,2019-01-22 09:00:00,A homicide occurred where the victim was shot several times. ,Homicide, , ,Business,Google LLC,Device ID in a particular location from Google,2017-08-26 00:00:00,2017-08-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
Seaside Police Department,Monterey,18-318,2019-01-22 08:56:00,Burglary to a gunsmithing shop where 11 firearms were stolen along with other property. ,Theft/Fraud, , ,Business,Google LLC,Device ID in a particular location from Google,2017-08-26 00:00:00,2017-08-28 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,eswn2019.xlsx,2019
