Item to Search,Probable Geofence Reference
"electronically stored records, cell site list, carrier key",N
event data recorder,N
evidence of robbery or conspiracy of robbery,N
facebook account,N
facebook records,N
"financial info, internet history",N
"financial information, internet history, indicia of ownership",N
financial records,N
financial records and other account holder information,N
financial records and other account holder information on that account,N
"financial records, phone logs, linked accounts",N
gps precision location for (805) 867-1246,N
identification of account/person that used the card value between 8-22-17 and the time apple inc. complies with the warrant,N
identify the owner of the laptops.,N
identity verification records,N
illegal use,N
images and videos,N
imei numbers present during specific time period,N
imei of devices in both areas within time window,N
imei/imsi,N
incoming phone numbers records only,N
indicia of ownership and control,N
indicia of ownership.,N
instagram records,N
internet access records,N
"internet access records, gang indicia",N
internet content,N
internet history. financial information. indicia of ownership and control.,N
ip,N
ip address,N
"ip address (orig, logins/outs, banking records,",N
ip address info,N
ip address information,N
"ip address, financial/payment information, previous postings",N
ip connection logs,N
ip history,N
ip log in log outs,N
"ip logs, photographs/videos, postings, friend requests, length of service records, account service records, deleted content",N
ip records,N
ip session logs and billing records,N
items related to martial arts/ for suspects blood,N
"length of service, payment",N
linked accounts,N
live cdrs,N
medical records,N
"methods of payment, ip addresses, phone numbers, email, photo and video, location history,ios device activations, icloud drive",N
number transfer information,N
or other communication),N
or other files),N
"origional ip address of account, connection logs, linked accounts",N
other transactional  and account records from a service provider,N
other transactional and account records from a service provider,N
outgoing and incoming phone numbers,N
phone logs,N
phone number for target device,N
phone numbers,N
phone numbers collected from various cell towers/ i.e. tower dump,N
phone numbers connected to tower,N
photographs,N
ping,N
"previous posts, ip addresses, financial/payment information",N
"prior postings, financial/payment information, ip address",N
psychiatric records,N
psychiatric rrecords,N
"purchase records, device id records, call detail records,  and internet access records",N
records extraction,N
records from cellular towers,N
seize electronic devices,N
seized and terminate account,N
snapchat account,N
snaps,N
social media,N
social media accounts contained within phones,N
social media site,N
stored files (picture,N
"stored files (picture, documents, or other files)",N
"stored posts, payment/financial information",N
"subscriber activity logs of user activity, documented complaints",N
subscriber information,N
subscriber/account termination order,N
surveillance footage,N
termination of devices,N
termination of service by commercial carrier,N
text,N
the date of service suspension/termination and listing on the stolen cellular telephone database.,N
tower data,N
tower dump,N
tower dump data,N
tower dump for the area of deervalley road and empire mine road in antioch ca,N
tower dump records,N
tower dumps,N
tracker install,N
turn off phones,N
uber transaction record,N
use device,N
utilization of cell phone,N
vehicle data,N
vehicle tracker gps,N
video/data 0600 to 2000 hrs,N
voice mail,N
wire tap investigation,N
information stored on magnetic access card strip,N
